"","NAME","YEAR","TEAM","TIME"
"1750","Bingham, Murray","FR-1","Southern Virginia","26:38.6"
"1751","Lathbury, Bradshaw","FR-1","Berry","26:39.3"
"1752","Allison, Micaiah","JR-3","Covenant","26:39.8"
"1753","Edwards, Andrew","JR-3","Centre","26:40.0"
"1754","Chandler, Kazdyn","FR-1","Southern Virginia","26:42.2"
"1755","Holt, Keaton","JR-3","Trinity (Tex.)","26:42.5"
"1756","Ellenberger, Mark","SO-2","Rhodes","26:43.5"
"1757","Gray, Matthew","SR-4","Centre","26:44.6"
"1758","O'Cadiz, Matthew","SO-2","Mary Washington","26:45.5"
"1759","Jordan, Owen","FR-1","Berry","26:47.4"
"1760","Barganier, Jack","SR-4","U. of the South","26:47.5"
"1761","Irwin, Noah","FR-1","Piedmont","26:48.1"
"1762","Tolarchyk, Nicholas","SO-2","Christopher Newport","26:48.1"
"1763","McGrade, David","JR-3","Centre","26:49.1"
"1764","Moranos, Connor","SO-2","Piedmont","26:49.2"
"1765","Topoly, Drew","FR-1","Methodist","26:50.5"
"1766","Evans, Nicholas","SR-4","Oglethorpe","26:52.5"
"1767","Reyna, Christopher","SR-4","UT-Dallas","26:52.5"
"1768","Alderfer, Isaac","SO-2","Eastern Mennonite","26:53.2"
"1769","Zulauf, Chamberlain","SO-2","Roanoke","26:53.3"
"1770","Seitz, Matthew","JR-3","Covenant","26:53.5"
"1771","Stafford, Garrett","JR-3","Piedmont","26:54.7"
"1772","Beckett, Daniel","SR-4","Maryville (Tenn.)","26:55.5"
"1773","Murphy, Patrick","FR-1","Mary Washington","26:56.3"
"1774","Ames, Paul","FR-1","Catholic","26:57.5"
"1775","Verrett, Connor","FR-1","Washington and Lee","26:58.4"
"1776","Griggs, Bryce","SR-4","Piedmont","26:59.4"
"1777","Navarro, Raymond","SO-2","Austin College","27:00.1"
"1778","Freeman, Benjamin","SR-4","Rhodes","27:00.3"
"1779","Sulcer, Jordan","JR-3","Virginia Wesleyan","27:01.0"
"1780","Sakakini, Trent","SO-2","UT-Dallas","27:01.9"
"1781","Dennis, Noah","FR-1","Southwestern (Tex.)","27:03.0"
"1782","Griffith, Ben","SR-4","Rhodes","27:04.0"
"1783","Mason, Blake","SO-2","Mary Washington","27:05.9"
"1784","Conway, Chad","SO-2","Trinity (Tex.)","27:06.1"
"1785","Meade, Rodrigo","JR-3","Oglethorpe","27:07.6"
"1786","McCroy, Connor","FR-1","Lynchburg","27:07.8"
"1787","Mallett, Cam","SR-4","Berry","27:08.4"
"1788","Reinhart, Brian","FR-1","Catholic","27:10.1"
"1789","Polio, Sam","FR-1","Centre","27:10.3"
"1790","Allen, Justice","JR-3","Eastern Mennonite","27:12.1"
"1791","Thomas, Bryce","FR-1","Berry","27:14.8"
"1792","Whittemore, Ben","FR-1","Trinity (Tex.)","27:14.9"
"1793","George, Jonathan","JR-3","Covenant","27:15.5"
"1794","Ward, Will","JR-3","Christopher Newport","27:15.6"
"1795","Camuel, Ben","FR-1","Centre","27:17.9"
"1796","Mitchell, Zach","FR-1","Hardin-Simmons","27:18.3"
"1797","Le Mahieu, Leif","JR-3","Covenant","27:19.4"
"1798","Bowen, Andrew","JR-3","North Carolina Wesleyan","27:20.2"
"1799","Jacobs, Alvin","JR-3","Piedmont","27:20.4"
"1800","Kearley, Sam","FR-1","U. of the South","27:20.4"
"1801","Nightingale, Lorien","","LeTourneau","27:20.6"
"1802","Fulton, Emerson","FR-1","Rhodes","27:21.1"
"1803","Galloway, Nathan","SR-4","Piedmont","27:21.9"
"1804","Halverson, Gary","FR-1","Piedmont","27:21.9"
"1805","Davis , Griffin","FR-1","UT-Dallas","27:24.7"
"1806","Tippette, Christian","JR-3","North Carolina Wesleyan","27:27.1"
"1807","Smith, Peter","SO-2","Roanoke","27:27.4"
"1808","Sandoval, Craig","FR-1","Trinity (Tex.)","27:27.6"
"1809","Leo, Vincent","FR-1","Bridgewater (Va.)","27:29.5"
"1810","Mellott, Ben","FR-1","Covenant","27:29.8"
"1811","Biffar, Johnny","JR-3","Austin College","27:31.3"
"1812","Ridley, Thomas","SO-2","Oglethorpe","27:31.6"
"1813","Hamacher, Ryan","FR-1","Roanoke","27:32.4"
"1814","Goldston, Aidan","SO-2","Oglethorpe","27:33.3"
"1815","Willis, Nathaniel","SR-4","Roanoke","27:35.1"
"1816","Wertz, Jonathan","SO-2","Methodist","27:35.9"
"1817","Magallen, Sammy","JR-3","Hardin-Simmons","27:37.0"
"1818","Meza, Joseph","FR-1","McMurry","27:38.7"
"1819","Tres, Michael","SR-4","Virginia Wesleyan","27:38.8"
"1820","McIntyre, Charles","SO-2","Austin College","27:39.5"
"1821","Pirozzi, Cosmo","SR-4","Catholic","27:41.4"
"1822","Taylor, Adam","FR-1","Millsaps","27:41.8"
"1823","Biffar, Chris","JR-3","Austin College","27:42.8"
"1824","Deel, Andrew","FR-1","Roanoke","27:43.2"
"1825","Ayers, Connor","JR-3","Methodist","27:43.8"
"1826","Gabriel, John","SR-4","UT-Dallas","27:44.3"
"1827","Powers, Jack","JR-3","Trinity (Tex.)","27:46.4"
"1828","Henderson, Ryan","SO-2","Christopher Newport","27:47.1"
"1829","Cusack, Wesley","FR-1","U. of the South","27:47.6"
"1830","Miller , Jaeden","JR-3","Ozarks (Ark.)","27:49.1"
"1831","Kirschner, Jackson","SO-2","Mary Washington","27:52.8"
"1832","Howell, Noah","JR-3","Bridgewater (Va.)","27:53.4"
"1833","Atkins, Bram","JR-3","U. of the South","27:53.5"
"1834","Hayes, Connor","SO-2","North Carolina Wesleyan","27:54.5"
"1835","Shaulis, C.P.","SO-2","Southwestern (Tex.)","27:56.7"
"1836","Albright, Cooper","FR-1","Christopher Newport","27:57.3"
"1837","Thomas, Andrew","SO-2","Austin College","27:57.4"
"1838","Clarke, Kyle","FR-1","Washington and Lee","27:57.6"
"1839","Smith, River","JR-3","Hardin-Simmons","27:58.0"
"1840","Saia, Sam","JR-3","Millsaps","27:59.7"
"1841","Gambrell, Spencer","FR-1","LeTourneau","28:01.6"
"1842","Kaufman, Clay","FR-1","Eastern Mennonite","28:03.3"
"1843","Sneller, Ian","SO-2","Covenant","28:03.6"
"1844","Monroy, Eric","FR-1","Hardin-Simmons","28:04.1"
"1845","Heard, Aiden","FR-1","Oglethorpe","28:04.5"
"1846","Hensley, Latham","SR-4","McMurry","28:05.3"
"1847","Platas, Rick","FR-1","Concordia (Tex.)","28:05.6"
"1848","Sullivan, Kenneth","JR-3","Bridgewater (Va.)","28:06.3"
"1849","Veney, Domonique","FR-1","Ferrum","28:09.1"
"1850","Barrett, Tyler","SR-4","Roanoke","28:12.5"
"1851","Rice, Andrew","FR-1","Berry","28:13.0"
"1852","Kondor, Christian","JR-3","UT-Dallas","28:13.8"
"1853","Eskelsen, Caden","FR-1","Southern Virginia","28:15.2"
"1854","LaPointe, Joseph","SR-4","Catholic","28:18.5"
"1855","AndreaS, Isaac","SO-2","Eastern Mennonite","28:19.9"
"1856","Agostisi, Colin","FR-1","Catholic","28:20.8"
"1857","Parisi, Tony","FR-1","Birmingham-Southern","28:22.1"
"1858","Dukes, Stephen","JR-3","Methodist","28:28.2"
"1859","Lay, Ryan","SR-4","Maryville (Tenn.)","28:32.1"
"1860","Yancey, Grant","SO-2","Millsaps","28:34.4"
"1861","Yoder, Nathan","FR-1","Eastern Mennonite","28:35.5"
"1862","Kirby , Joseph","FR-1","UT-Dallas","28:36.3"
"1863","Flege, Caleb","SR-4","Berea","28:37.5"
"1864","Barungi, Philly","FR-1","North Carolina Wesleyan","28:38.4"
"1865","Meyer, Jackson","SO-2","Trinity (Tex.)","28:39.2"
"1866","Botros, Nathan","SO-2","Southwestern (Tex.)","28:40.1"
"1867","Boer, Ian","FR-1","U. of the South","28:40.7"
"1868","Massey, Trey","SO-2","Virginia Wesleyan","28:41.7"
"1869","Lemoine, Landry","FR-1","Millsaps","28:42.4"
"1870","Stewart, Samuel","JR-3","Concordia (Tex.)","28:43.4"
"1871","Lowell, Chandler","FR-1","Averett","28:46.0"
"1872","Longenecker, Collin","SR-4","Eastern Mennonite","28:46.1"
"1873","Parker, Terenthen","SO-2","North Carolina Wesleyan","28:47.7"
"1874","Zuniga, John","FR-1","McMurry","28:48.6"
"1875","Fretwell, Josh","FR-1","Roanoke","28:49.3"
"1876","Dye, Mason","JR-3","Randolph","28:50.1"
"1877","Morphonios, Joseph","SO-2","Southern Virginia","28:50.6"
"1878","Guadalupe Johnson, Thomas","SO-2","Eastern Mennonite","28:55.8"
"1879","Storie, Bryan","SO-2","LaGrange","28:56.8"
"1880","Tate Jr. , Kevin","FR-1","Ferrum","28:56.8"
"1881","Epperly, Brayden","SO-2","Randolph","28:58.2"
"1882","Perez, Misael","FR-1","Ozarks (Ark.)","29:01.0"
"1883","Small, Maleik","SO-2","North Carolina Wesleyan","29:02.1"
"1884","Wilsey, Worth","FR-1","Millsaps","29:05.4"
"1885","Brown, Stephen","SO-2","East Texas Baptist","29:07.7"
"1886","Guthrie, Hayden","SO-2","Oglethorpe","29:10.0"
"1887","Adair, Cameron","FR-1","Methodist","29:16.4"
"1888","Broemmel, Andrew","FR-1","Bridgewater (Va.)","29:16.4"
"1889","Arroyo, Marcus","SO-2","Hardin-Simmons","29:18.0"
"1890","Fernandez, Kenny","FR-1","Ozarks (Ark.)","29:18.9"
"1891","Farrell, Eric","FR-1","Bridgewater (Va.)","29:24.1"
"1892","Roden, Christian","JR-3","Virginia Wesleyan","29:24.9"
"1893","Spence, Colton","FR-1","Virginia Wesleyan","29:27.4"
"1894","Carpenter, Cody","JR-3","Randolph","29:30.0"
"1895","Salazar, Alejandro","SO-2","Concordia (Tex.)","29:30.2"
"1896","Riner, Griffin","SO-2","Birmingham-Southern","29:31.9"
"1897","Gossman, Baron","FR-1","Methodist","29:32.3"
"1898","Bozell, Justin","FR-1","McMurry","29:32.6"
"1899","Gibson, Shane","SR-4","Bridgewater (Va.)","29:37.1"
"1900","Stout, Tyler","SO-2","Hardin-Simmons","29:39.7"
"1901","Daniels, Jiro","JR-3","Concordia (Tex.)","29:40.4"
"1902","Hodum, Rick","SR-4","Belhaven","29:41.3"
"1903","Nichols, Michael","JR-3","Averett","29:44.8"
"1904","Williams, Keyonte","SO-2","North Carolina Wesleyan","29:48.4"
"1905","Beltran, Gilbert","JR-3","Concordia (Tex.)","29:51.8"
"1906","Kummer, Ethan","FR-1","Ferrum","29:55.1"
"1907","Rodriguez, Patrick","FR-1","U. of the South","29:56.8"
"1908","Gotschi, Tysen","FR-1","Ferrum","30:00.7"
"1909","Mohabir, Lamont","SO-2","Randolph","30:01.0"
"1910","Martin, Richard","JR-3","Maryville (Tenn.)","30:06.1"
"1911","Ginsberg, Doug","SO-2","Southwestern (Tex.)","30:18.5"
"1912","Magno-Hester, Hunter","JR-3","Belhaven","30:19.1"
"1913","Roth, Tanner","FR-1","Methodist","30:20.3"
"1914","Kim, Vincent","FR-1","Southwestern (Tex.)","30:28.9"
"1915","Wilkes, Beck","SO-2","Birmingham-Southern","30:33.4"
"1916","Schmitzer, Caleb","JR-3","Randolph","30:36.1"
"1917","Ismir, Jacob","FR-1","Concordia (Tex.)","30:38.2"
"1918","Thomas, Javarcea","JR-3","Belhaven","30:48.0"
"1919","Taylor, Matthew","SR-4","Belhaven","30:56.6"
"1920","Hanshaw, Alec","JR-3","McMurry","31:19.6"
"1921","Capehart , Aaron","SR-4","Ozarks (Ark.)","31:24.5"
"1922","Walker, Charles","FR-1","Belhaven","31:26.7"
"1923","Wood, Jonathon","SR-4","Ozarks (Ark.)","31:46.8"
"1924","Banuelos, Fred","SR-4","Southwestern (Tex.)","31:53.3"
"1925","Rollins, Jyheem","FR-1","LaGrange","32:02.3"
"1926","Jackson, DeAndre","SO-2","Randolph","32:03.5"
"1927","Ontiveros, Alijah","FR-1","Southwestern (Tex.)","32:12.0"
"1928","Miller, Michael","SO-2","Hendrix","32:13.8"
"1929","Owens, Parker","FR-1","Maryville (Tenn.)","32:47.9"
"1930","Rice, Alex","FR-1","Ferrum","32:59.7"
"1931","Day, Dylan","JR-3","Concordia (Tex.)","33:05.2"
"1932","Callahan, Garret","FR-1","LaGrange","33:32.0"
"1933","Johnson, Alexander","SR-4","Ferrum","33:33.8"
"1934","Harrison, Cooper","SO-2","Maryville (Tenn.)","33:44.5"
"1935","Drake, Gideon","FR-1","Hendrix","35:16.5"
"1936","Rachel, Elijah","FR-1","LaGrange","35:56.3"
"1937","Elliott, Cooper","FR-1","Hendrix","37:04.9"
"1938","Humphreys, Selden","FR-1","Hendrix","38:25.9"
"1939","Campbell, Ian","FR-1","Hendrix","39:54.6"
"1940","Hildebrand, Kyle","SR-4","LaGrange","44:20.7"
"1941","Tentor, Zach","FR-1","Catholic","DNF"
"1942","Stallings, Austin","FR-1","Centre","DNF"
"1943","Hightower, Owen","FR-1","Millsaps","DNF"
"1944","Wolverton, Louis","SR-4","Virginia Wesleyan","DNF"
"1945","West, Isaiah","SO-2","Berea","DNS"
"1946","Aurobindo, Abhi","FR-1","Berry","DNS"
"1947","Blakeman, Wilson","SR-4","Centre","DNS"
"1948","Miller, Evan","SR-4","Centre","DNS"
"1949","Hodges, Ben","JR-3","Centre","DNS"
"1950","Saunders, Will","SO-2","Christopher Newport","DNS"
"1951","Jones, Benjamin","SO-2","Covenant","DNS"
"1952","Nord, Andrew","SO-2","Eastern Mennonite","DNS"
"1953","Branson, Sam","SR-4","Emory","DNS"
"1954","Escajeda, Connor","FR-1","Hendrix","DNS"
"1955","Turbeville, Clint","JR-3","Lynchburg","DNS"
"1956","Finstad, Matthew","FR-1","Maryville (Tenn.)","DNS"
"1957","Tekelemariam, Menwuyelet","FR-1","North Carolina Wesleyan","DNS"
"1958","Harvey, Daniel","FR-1","Oglethorpe","DNS"
"1959","Mills, Jacob","FR-1","Ozarks (Ark.)","DNS"
"1960","Mott, Sam","JR-3","Randolph","DNS"
"1961","Brown, Nathan","SO-2","Trinity (Tex.)","DNS"
"1962","Garcia, Aaron","JR-3","Trinity (Tex.)","DNS"
"1963","Morgan, Joshua","SO-2","Trinity (Tex.)","DNS"
"1964","Ritchie, Rob","SR-4","U. of the South","DNS"
"1965","Musial, Nathaniel","SR-4","UT-Dallas","DNS"
"1966","Todd, Matthew","FR-1","Washington and Lee","DNS"
"1967","Hanna, Christian","JR-3","Washington and Lee","DNS"
"1968","Warren, Tim","FR-1","Washington and Lee","DNS"
"1969","Cutter, Ryan","JR-3","U. of Chicago","24:32.6"
"1970","Fassbender, David","JR-3","Wis.-Whitewater","24:36.8"
"1971","Nault, Tyler","SR-4","Wis.-La Crosse","24:40.9"
"1972","Matteucci, Nick","SR-4","Washington U.","24:48.8"
"1973","Klokow, Zach","SR-4","Wis.-Platteville","24:49.1"
"1974","Osmulski, Matt","SR-4","North Central (Ill.)","24:50.8"
"1975","Pommier, Gabriel","JR-3","North Central (Ill.)","24:54.9"
"1976","Schraeder, Josh","SR-4","Wis.-La Crosse","24:55.4"
"1977","Licari, Nick","JR-3","North Central (Ill.)","24:58.4"
"1978","Garcia, Marcos","SO-2","Benedictine (Ill.)","24:59.3"
"1979","Chadwick, Cody","JR-3","Wis.-Oshkosh","25:01.1"
"1980","Makrounis, Alex","JR-3","North Central (Ill.)","25:03.9"
"1981","Schultz, Spencer","SO-2","Wis.-Stout","25:07.3"
"1982","Kortenhof, Joe","SR-4","Lawrence","25:08.2"
"1983","Chapman, Zachary","JR-3","North Central (Ill.)","25:10.2"
"1984","Beutel, Alec","SR-4","North Central (Ill.)","25:11.6"
"1985","Dolan, Connor","JR-3","Wis.-Eau Claire","25:13.8"
"1986","Gardner, Chase","JR-3","U. of Chicago","25:14.4"
"1987","Quaroni, Marco","SR-4","Washington U.","25:17.0"
"1988","Stover, Joe","JR-3","Washington U.","25:21.5"
"1989","Craig, Sam","SO-2","U. of Chicago","25:21.8"
"1990","Stelmasek, Matt","SR-4","Wis.-Stevens Point","25:22.0"
"1991","Schommer, Peter","JR-3","Wis.-La Crosse","25:23.9"
"1992","Koch, Campbell","SO-2","North Central (Ill.)","25:24.5"
"1993","Chittenden, Cy","FR-1","U. of Chicago","25:25.5"
"1994","Friedman, Michael","SR-4","Wis.-Stout","25:25.8"
"1995","Norrick, Patrick","SO-2","Washington U.","25:27.0"
"1996","Bourland, Matt","SR-4","Wis.-La Crosse","25:29.4"
"1997","Neuroth, Kyle","JR-3","Wis.-Whitewater","25:29.5"
"1998","Pahnke, Chris","JR-3","Wis.-La Crosse","25:30.3"
"1999","Larkin, Michael","SR-4","Wheaton (Ill.)","25:30.7"
"2000","Cera, Tucker","JR-3","Washington U.","25:31.6"
"2001","George, Andrew","JR-3","Wis.-Oshkosh","25:31.7"
"2002","Fifield, Mike","SR-4","Wis.-Stout","25:32.2"
"2003","Winn, Alex","SR-4","Wis.-Eau Claire","25:33.0"
"2004","Gregg, Ethan","FR-1","Wis.-La Crosse","25:33.3"
"2005","Yengo, Zach","SO-2","Wis.-Eau Claire","25:33.9"
"2006","Sebok, Jack","SR-4","Washington U.","25:37.1"
"2007","McNamara, Thomas","SR-4","Concordia Univ. Chicago","25:44.1"
"2008","Krause, Justin","FR-1","Wis.-Whitewater","25:47.8"
"2009","Potter, Steven","SO-2","Wis.-Oshkosh","25:50.2"
"2010","Trimark, Noah","SR-4","Washington U.","25:50.7"
"2011","Krahn, Chris","JR-3","Wisconsin Lutheran","25:52.8"
"2012","Rathkamp, Andrew","SO-2","Wis.-Oshkosh","25:54.2"
"2013","Lutz, Robert","SR-4","Wis.-Stevens Point","25:57.0"
"2014","Morrill, Griff","JR-3","Monmouth (Ill.)","25:57.6"
"2015","Mathews, Brian","JR-3","Wis.-Stout","25:58.1"
"2016","Treinen, Axel","JR-3","Wis.-Stevens Point","25:59.7"
"2017","Fujimori, Gavin","SR-4","U. of Chicago","26:00.2"
"2018","Haffner, Brett","SO-2","Wis.-Eau Claire","26:01.9"
"2019","Massot, Seth","SR-4","Wheaton (Ill.)","26:02.7"
"2020","Potter, David","SO-2","Ripon","26:04.2"
"2021","Jones, Jonah","JR-3","Wheaton (Ill.)","26:06.9"
"2022","Alvarado, Jose","SR-4","Aurora","26:07.7"
"2023","Wilson, Philip","SR-4","Lake Forest","26:08.0"
"2024","Kirsteatter, Spencer","SO-2","Carroll (Wis.)","26:10.5"
"2025","Ryan, Matthew","SO-2","Wis.-Stout","26:11.0"
"2026","Teets, Josh","JR-3","Augustana (Ill.)","26:11.8"
"2027","Madoch, Michael","FR-1","Wis.-La Crosse","26:11.9"
"2028","Couser, Chad","JR-3","Wis.-Eau Claire","26:12.1"
"2029","Lambrecht, Jesse","SO-2","MSOE","26:13.5"
"2030","Schmidt, Nick","FR-1","Wis.-Whitewater","26:14.9"
"2031","Bath, Nick","JR-3","MSOE","26:17.0"
"2032","Kates, Andrew","SR-4","U. of Chicago","26:17.4"
"2033","Estrada, Brandon","SR-4","Aurora","26:19.0"
"2034","Riley, Kevin","SO-2","Wheaton (Ill.)","26:19.4"
"2035","Kozinski, Nolan","SO-2","MSOE","26:19.6"
"2036","Goodyear, Dylan","SR-4","Greenville","26:20.0"
"2037","Bostwick, Blake","SR-4","MSOE","26:20.9"
"2038","Nevins, Charlie","FR-1","U. of Chicago","26:21.9"
"2039","Bush, Gabe","FR-1","Millikin","26:23.5"
"2040","Peterson, Simon","SR-4","Wheaton (Ill.)","26:24.6"
"2041","Popp, Mitchell","SO-2","Wis.-Stout","26:25.5"
"2042","Henrikson, Tate","JR-3","Augustana (Ill.)","26:25.8"
"2043","Bridgman, Austin","FR-1","Millikin","26:27.3"
"2044","Bradford, Mitchell","FR-1","Wis.-Oshkosh","26:28.1"
"2045","Raybould, Steven","SR-4","Illinois Wesleyan","26:31.0"
"2046","Alexander, Dane","FR-1","Millikin","26:31.6"
"2047","Zielinski, Karsten","SO-2","Augustana (Ill.)","26:33.4"
"2048","Hackett, Conner","JR-3","Wis.-Whitewater","26:35.5"
"2049","Freyling, Nathan","JR-3","Webster","26:36.1"
"2050","Adams, Kyle","JR-3","Carroll (Wis.)","26:38.4"
"2051","Olenek, Thomas","JR-3","Carthage","26:39.4"
"2052","Gasick, Joe","JR-3","St. Norbert","26:41.6"
"2053","Woerishofer, Clint","JR-3","Wis.-Whitewater","26:43.1"
"2054","Morken, Daniel","SO-2","Wheaton (Ill.)","26:45.6"
"2055","Muskevitsch, Andrew","SO-2","Wis.-Oshkosh","26:46.8"
"2056","Sakuma, Cameron","FR-1","Webster","26:47.0"
"2057","Kehoe, Joseph","FR-1","Wis.-Oshkosh","26:47.9"
"2058","Hinderman, Ethan","FR-1","Wis.-Stout","26:49.7"
"2059","Wagner, Matt","JR-3","Illinois Wesleyan","26:49.9"
"2060","Egbert, Alex","SR-4","Wis.-Stevens Point","26:50.3"
"2061","Harland, Jacob","SO-2","Wis.-Platteville","26:51.6"
"2062","Tanko, Tyler","SR-4","Wis.-Stevens Point","26:52.6"
"2063","Dulin, Riley","SO-2","Monmouth (Ill.)","26:53.5"
"2064","Danko, Jaeden","SO-2","Illinois Wesleyan","26:54.4"
"2065","Wilson, Bailey","SR-4","Wis.-Eau Claire","26:55.3"
"2066","Johnson, Randy","FR-1","St. Norbert","26:56.1"
"2067","Hansen, Henry","FR-1","Edgewood","26:56.4"
"2068","Madoche, Tyler","JR-3","Carroll (Wis.)","26:56.4"
"2069","Smith, Mitchell","SR-4","Wheaton (Ill.)","26:58.4"
"2070","Bicknell, Austin","SO-2","Millikin","26:59.6"
"2071","Kuxmann, Ben","SO-2","Millikin","27:00.6"
"2072","Kluz, Michael","FR-1","Wis.-Stevens Point","27:00.6"
"2073","Trihey, Ben","SO-2","Wis.-Platteville","27:01.4"
"2074","Hay, Lars","SR-4","Wis.-Platteville","27:04.7"
"2075","Vaculik, Noah","SR-4","MSOE","27:06.0"
"2076","LaBracke, Nico","SR-4","Wis.-Stevens Point","27:06.9"
"2077","Harvey, Nick","SR-4","Augustana (Ill.)","27:07.4"
"2078","McClellan, Kort","FR-1","Millikin","27:10.8"
"2079","Osen, Tyler","FR-1","Wis.-Eau Claire","27:11.9"
"2080","Ketchman, Louis","FR-1","Illinois Tech","27:11.9"
"2081","Hein, Nick","JR-3","Wis.-Platteville","27:12.1"
"2082","Kessinger, Collin","JR-3","Greenville","27:13.8"
"2083","Sanchez, Cristian","SO-2","Elmhurst","27:14.1"
"2084","Go, Julian","SO-2","Illinois Tech","27:14.5"
"2085","Crowninshield, Max","SR-4","Illinois Wesleyan","27:16.3"
"2086","Jacques-Hembree, Caleb","SO-2","Carroll (Wis.)","27:17.3"
"2087","Smith, Ellison","SO-2","Benedictine (Ill.)","27:18.0"
"2088","Nelson, Taijhan","JR-3","Millikin","27:18.1"
"2089","Heiple, Tanner","SR-4","Monmouth (Ill.)","27:18.4"
"2090","Wright, Steven","JR-3","Carthage","27:19.7"
"2091","Reyes, Christian","SO-2","Lake Forest","27:20.4"
"2092","Niswonger, Dylon","SR-4","Greenville","27:21.2"
"2093","Contreras, Matthew","SR-4","Augustana (Ill.)","27:22.8"
"2094","Holloway, Matt","SR-4","St. Norbert","27:24.5"
"2095","Almarales, Randy","FR-1","Elmhurst","27:25.0"
"2096","Batzko, Blake","JR-3","Carroll (Wis.)","27:25.0"
"2097","Bogart, Ernest","FR-1","Concordia Univ. Chicago","27:27.9"
"2098","Johnson, Andrew","SR-4","Ripon","27:29.3"
"2099","Voelker, Jason","SO-2","Wis.-Platteville","27:30.9"
"2100","Valle, Nick","SO-2","Aurora","27:33.7"
"2101","Balizado, Evan","SO-2","Illinois Tech","27:34.4"
"2102","Kral, Jackson","SO-2","Concordia (Wis.)","27:35.1"
"2103","Edwards, Thomas","SR-4","Carthage","27:35.4"
"2104","Forstner, Sam","FR-1","Ripon","27:35.5"
"2105","Glickman, Jeremy","SR-4","Illinois Wesleyan","27:36.4"
"2106","Ott, Abe","SR-4","Principia","27:38.2"
"2107","Schmitt, Eric","SR-4","Carthage","27:38.9"
"2108","Rice, Dillon","SR-4","Lake Forest","27:39.2"
"2109","Pachowitz, Joseph","SO-2","Ripon","27:39.2"
"2110","Bronner, Daniel","JR-3","Wisconsin Lutheran","27:40.2"
"2111","Mickelson, Aaron","FR-1","St. Norbert","27:41.0"
"2112","Lodewyck, Jeremy","FR-1","Elmhurst","27:42.9"
"2113","Moore, Samuel","SO-2","Westminster (Mo.)","27:44.8"
"2114","Demerath, William","SO-2","MSOE","27:45.5"
"2115","Baker, Jarod","JR-3","Wis.-Platteville","27:47.1"
"2116","Mainellis, Jackson","JR-3","Augustana (Ill.)","27:48.1"
"2117","Raatz, Nathan","FR-1","Carroll (Wis.)","27:48.4"
"2118","Eagon, Stefan","JR-3","Carroll (Wis.)","27:49.5"
"2119","Tomich, Trevor","SR-4","Carthage","27:53.4"
"2120","Doyle, Thomas","JR-3","Illinois Tech","27:54.4"
"2121","Hunter, Gage","SO-2","Edgewood","27:55.3"
"2122","Kremsreiter, Miles","SO-2","Ripon","27:57.6"
"2123","Radtke, Garrett","SO-2","Ripon","28:02.2"
"2124","Fulgencio, Eduardo","FR-1","Illinois College","28:03.5"
"2125","Dir, Noah","SR-4","Greenville","28:04.5"
"2126","Sisson, Noah","SR-4","Beloit","28:05.6"
"2127","Gille, Michael","SO-2","Augustana (Ill.)","28:06.8"
"2128","Krause, Alex","SO-2","Edgewood","28:07.8"
"2129","Kuehl, Brian","JR-3","Wis.-Whitewater","28:08.0"
"2130","Corrigan, Justin","JR-3","Carthage","28:12.7"
"2131","Bersell, Mike","SR-4","Monmouth (Ill.)","28:13.3"
"2132","Hirschmann, Brandon","FR-1","MSOE","28:15.4"
"2133","Kasper, Adam","SO-2","Wis.-River Falls","28:19.3"
"2134","Minda, Zac","JR-3","Carthage","28:19.7"
"2135","Rozycki, Leif","FR-1","Wis.-River Falls","28:19.8"
"2136","Mulder, Miles","FR-1","St. Norbert","28:27.0"
"2137","Arthur, Aaron","SR-4","Lawrence","28:28.2"
"2138","Engel, Finnegan","SO-2","Benedictine (Ill.)","28:30.0"
"2139","Avalos, Anthony","SR-4","Elmhurst","28:32.2"
"2140","Seniker, Grant","SO-2","Illinois College","28:33.8"
"2141","Urbina, Alex","FR-1","Monmouth (Ill.)","28:34.9"
"2142","Baker , Sam","FR-1","Webster","28:36.4"
"2143","Daniels, Billy","SO-2","Lawrence","28:37.5"
"2144","Matuszewski, Andrew","SO-2","Elmhurst","28:39.9"
"2145","Teigen, Ryan","SR-4","Concordia (Wis.)","28:40.6"
"2146","Jacobi, Adam","JR-3","Wis.-River Falls","28:41.2"
"2147","Bojdak-Yates, Itai","FR-1","Lawrence","28:42.0"
"2148","Hernandez, Jacob","SO-2","Aurora","28:43.1"
"2149","Dietz, Cormac","FR-1","Aurora","28:44.4"
"2150","Triggs, Kaelin","FR-1","Webster","28:45.4"
"2151","Willer II, George","FR-1","Elmhurst","28:45.4"
"2152","Hatano, Yusuke","SR-4","Beloit","28:45.6"
"2153","Pierce, Jackson","SO-2","Greenville","28:46.6"
"2154","Bonifer, CJ","SO-2","Monmouth (Ill.)","28:48.7"
"2155","McVittie, Evan","SO-2","St. Norbert","28:50.1"
"2156","Carlson, Kaleb","SO-2","Greenville","28:51.7"
"2157","Melin, Steven","FR-1","Illinois College","28:55.1"
"2158","Steele, Boone","FR-1","Principia","29:01.4"
"2159","Schneider, Zach","JR-3","Illinois Wesleyan","29:05.0"
"2160","Gonzalez, Fernando","FR-1","Dominican (Ill.)","29:06.4"
"2161","Donovan, Abram","SR-4","Webster","29:07.0"
"2162","Ebel, William","SO-2","Concordia (Wis.)","29:08.2"
"2163","McKendry, Matthew","SR-4","St. Norbert","29:10.6"
"2164","Aimesbury, Keegan","FR-1","Ripon","29:13.5"
