"","X","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE","MEETNAME_CORR","Score"
"92",356,"King, Andrew","SR-4","Johns Hopkins","25:31.1","November  02, 2019
","2019 Centennial Conference Championships","
Gettysburg College
Gettysburg, PA 17325
  ","2019_Centennial_Conference_Championships_","86"
"93",357,"Hines, Declan","JR-3","Johns Hopkins","25:39.4","November  02, 2019
","2019 Centennial Conference Championships","
Gettysburg College
Gettysburg, PA 17325
  ","2019_Centennial_Conference_Championships_","86"
"94",358,"Laidlaw, Sean","SO-2","Johns Hopkins","25:42.7","November  02, 2019
","2019 Centennial Conference Championships","
Gettysburg College
Gettysburg, PA 17325
  ","2019_Centennial_Conference_Championships_","86"
"95",376,"Pangallozzi, Jared","JR-3","Johns Hopkins","24:02.2","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  ","Rowan_Inter-regional_Border_Battle","42"
"96",377,"King, Andrew","SR-4","Johns Hopkins","24:23.3","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  ","Rowan_Inter-regional_Border_Battle","42"
"97",380,"Laidlaw, Sean","SO-2","Johns Hopkins","24:54.4","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  ","Rowan_Inter-regional_Border_Battle","42"
"98",381,"Dye, Patrick","JR-3","Johns Hopkins","25:15.9","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  ","Rowan_Inter-regional_Border_Battle","42"
"99",382,"Murray, PJ","SR-4","Johns Hopkins","25:16.4","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  ","Rowan_Inter-regional_Border_Battle","42"
"100",383,"Hines, Declan","JR-3","Johns Hopkins","25:17.1","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  ","Rowan_Inter-regional_Border_Battle","42"
"101",399,"Murray, PJ","SR","Johns Hopkins","24:59.2","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"102",402,"Pangallozzi, Jared","JR","Johns Hopkins","24:35.3","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"103",404,"King, Andrew","SR","Johns Hopkins","24:56.7","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"104",405,"Delahanty, Conner","JR","Johns Hopkins","25:01.3","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"105",406,"Dye, Patrick","JR","Johns Hopkins","25:15.3","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"106",407,"Hines, Declan","","Johns Hopkins","25:15.5","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"107",408,"Laidlaw, Sean","SO","Johns Hopkins","25:29.8","October  5, 2019
","Louisville Classic","
E.P. Tom Sawyer State Park
Louisville, KY 
  ","Louisville_Classic","60"
"108",421,"King, Andrew","SR-4","Johns Hopkins","25:38.7","September 20, 2019
","Iona Br. Paddy Doyle Meet of Champions","
Van Cortlandt Park
Bronx, NY 
  ","Iona_Br._Paddy_Doyle_Meet_of_Champions","124"
